run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,num_threads,run_dir,job_config
atlas_het__node_classification__graphatlas_original__split0__seed0__d4611b0aa19e,d4611b0aa19e,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,0,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-0\config-d4611b0a,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-0\config-d4611b0a\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed1__43040977a607,43040977a607,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,1,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-1\config-43040977,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-1\config-43040977\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed2__9cc096975d29,9cc096975d29,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,2,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-2\config-9cc09697,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-2\config-9cc09697\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed3__96f5f4b295bd,96f5f4b295bd,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,3,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-3\config-96f5f4b2,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-3\config-96f5f4b2\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed4__2f8cc1ffc279,2f8cc1ffc279,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,4,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-4\config-2f8cc1ff,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-4\config-2f8cc1ff\job_config.yaml
atlas_het__node_classification__graphatlas_min_distortion__split0__seed0__53e464613944,53e464613944,0e672c999c335af7,atlas_het,node_classification,graphatlas_min_distortion,graphatlas_min_distortion,0,0,1,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-0\config-53e46461,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-0\config-53e46461\job_config.yaml
atlas_het__node_classification__graphatlas_min_distortion__split0__seed1__e19bd8607069,e19bd8607069,0e672c999c335af7,atlas_het,node_classification,graphatlas_min_distortion,graphatlas_min_distortion,1,0,1,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-1\config-e19bd860,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-1\config-e19bd860\job_config.yaml
atlas_het__node_classification__graphatlas_min_distortion__split0__seed2__5414d90e6a68,5414d90e6a68,0e672c999c335af7,atlas_het,node_classification,graphatlas_min_distortion,graphatlas_min_distortion,2,0,1,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-2\config-5414d90e,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-2\config-5414d90e\job_config.yaml
atlas_het__node_classification__graphatlas_min_distortion__split0__seed3__d96036079082,d96036079082,0e672c999c335af7,atlas_het,node_classification,graphatlas_min_distortion,graphatlas_min_distortion,3,0,1,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-3\config-d9603607,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-3\config-d9603607\job_config.yaml
atlas_het__node_classification__graphatlas_min_distortion__split0__seed4__bd60de666b74,bd60de666b74,0e672c999c335af7,atlas_het,node_classification,graphatlas_min_distortion,graphatlas_min_distortion,4,0,1,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-4\config-bd60de66,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-4\config-bd60de66\job_config.yaml
atlas_het__node_classification__graphatlas_no_transport__split0__seed0__1ea4b1101b47,1ea4b1101b47,0e672c999c335af7,atlas_het,node_classification,graphatlas_no_transport,graphatlas_no_transport,0,0,1,outputs\.work\runs\atlas_het\graphatlas_no_transport\split-0\seed-0\config-1ea4b110,outputs\.work\runs\atlas_het\graphatlas_no_transport\split-0\seed-0\config-1ea4b110\job_config.yaml
atlas_het__node_classification__graphatlas_no_transport__split0__seed1__877a02e57cde,877a02e57cde,0e672c999c335af7,atlas_het,node_classification,graphatlas_no_transport,graphatlas_no_transport,1,0,1,outputs\.work\runs\atlas_het\graphatlas_no_transport\split-0\seed-1\config-877a02e5,outputs\.work\runs\atlas_het\graphatlas_no_transport\split-0\seed-1\config-877a02e5\job_config.yaml
atlas_het__node_classification__graphatlas_no_transport__split0__seed2__4de2a0340060,4de2a0340060,0e672c999c335af7,atlas_het,node_classification,graphatlas_no_transport,graphatlas_no_transport,2,0,1,outputs\.work\runs\atlas_het\graphatlas_no_transport\split-0\seed-2\config-4de2a034,outputs\.work\runs\atlas_het\graphatlas_no_transport\split-0\seed-2\config-4de2a034\job_config.yaml
atlas_het__node_classification__graphatlas_no_transport__split0__seed3__1348406b60fd,1348406b60fd,0e672c999c335af7,atlas_het,node_classification,graphatlas_no_transport,graphatlas_no_transport,3,0,1,outputs\.work\runs\atlas_het\graphatlas_no_transport\split-0\seed-3\config-1348406b,outputs\.work\runs\atlas_het\graphatlas_no_transport\split-0\seed-3\config-1348406b\job_config.yaml
atlas_het__node_classification__graphatlas_no_transport__split0__seed4__527d241a0fa2,527d241a0fa2,0e672c999c335af7,atlas_het,node_classification,graphatlas_no_transport,graphatlas_no_transport,4,0,1,outputs\.work\runs\atlas_het\graphatlas_no_transport\split-0\seed-4\config-527d241a,outputs\.work\runs\atlas_het\graphatlas_no_transport\split-0\seed-4\config-527d241a\job_config.yaml
atlas_het__node_classification__graphatlas_free_transition__split0__seed0__a3e8088254ad,a3e8088254ad,0e672c999c335af7,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,0,0,1,outputs\.work\runs\atlas_het\graphatlas_free_transition\split-0\seed-0\config-a3e80882,outputs\.work\runs\atlas_het\graphatlas_free_transition\split-0\seed-0\config-a3e80882\job_config.yaml
atlas_het__node_classification__graphatlas_free_transition__split0__seed1__2dfa285373fb,2dfa285373fb,0e672c999c335af7,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,1,0,1,outputs\.work\runs\atlas_het\graphatlas_free_transition\split-0\seed-1\config-2dfa2853,outputs\.work\runs\atlas_het\graphatlas_free_transition\split-0\seed-1\config-2dfa2853\job_config.yaml
atlas_het__node_classification__graphatlas_free_transition__split0__seed2__0691a5665f6e,0691a5665f6e,0e672c999c335af7,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,2,0,1,outputs\.work\runs\atlas_het\graphatlas_free_transition\split-0\seed-2\config-0691a566,outputs\.work\runs\atlas_het\graphatlas_free_transition\split-0\seed-2\config-0691a566\job_config.yaml
atlas_het__node_classification__graphatlas_free_transition__split0__seed3__b851591d5795,b851591d5795,0e672c999c335af7,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,3,0,1,outputs\.work\runs\atlas_het\graphatlas_free_transition\split-0\seed-3\config-b851591d,outputs\.work\runs\atlas_het\graphatlas_free_transition\split-0\seed-3\config-b851591d\job_config.yaml
atlas_het__node_classification__graphatlas_free_transition__split0__seed4__adf89e800283,adf89e800283,0e672c999c335af7,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,4,0,1,outputs\.work\runs\atlas_het\graphatlas_free_transition\split-0\seed-4\config-adf89e80,outputs\.work\runs\atlas_het\graphatlas_free_transition\split-0\seed-4\config-adf89e80\job_config.yaml
atlas_het__node_classification__graphatlas_membership_only__split0__seed0__c6d6c7d4f407,c6d6c7d4f407,0e672c999c335af7,atlas_het,node_classification,graphatlas_membership_only,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_membership_only\split-0\seed-0\config-c6d6c7d4,outputs\.work\runs\atlas_het\graphatlas_membership_only\split-0\seed-0\config-c6d6c7d4\job_config.yaml
atlas_het__node_classification__graphatlas_membership_only__split0__seed1__23b27ddf5dba,23b27ddf5dba,0e672c999c335af7,atlas_het,node_classification,graphatlas_membership_only,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_membership_only\split-0\seed-1\config-23b27ddf,outputs\.work\runs\atlas_het\graphatlas_membership_only\split-0\seed-1\config-23b27ddf\job_config.yaml
atlas_het__node_classification__graphatlas_membership_only__split0__seed2__bc9f8835a706,bc9f8835a706,0e672c999c335af7,atlas_het,node_classification,graphatlas_membership_only,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_membership_only\split-0\seed-2\config-bc9f8835,outputs\.work\runs\atlas_het\graphatlas_membership_only\split-0\seed-2\config-bc9f8835\job_config.yaml
atlas_het__node_classification__graphatlas_membership_only__split0__seed3__08898f08cc91,08898f08cc91,0e672c999c335af7,atlas_het,node_classification,graphatlas_membership_only,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_membership_only\split-0\seed-3\config-08898f08,outputs\.work\runs\atlas_het\graphatlas_membership_only\split-0\seed-3\config-08898f08\job_config.yaml
atlas_het__node_classification__graphatlas_membership_only__split0__seed4__daa895259386,daa895259386,0e672c999c335af7,atlas_het,node_classification,graphatlas_membership_only,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_membership_only\split-0\seed-4\config-daa89525,outputs\.work\runs\atlas_het\graphatlas_membership_only\split-0\seed-4\config-daa89525\job_config.yaml
atlas_het__node_classification__graphatlas_q_shuffle_source__split0__seed0__b228094d942f,b228094d942f,0e672c999c335af7,atlas_het,node_classification,graphatlas_q_shuffle_source,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_source\split-0\seed-0\config-b228094d,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_source\split-0\seed-0\config-b228094d\job_config.yaml
atlas_het__node_classification__graphatlas_q_shuffle_source__split0__seed1__098d36ba4b69,098d36ba4b69,0e672c999c335af7,atlas_het,node_classification,graphatlas_q_shuffle_source,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_source\split-0\seed-1\config-098d36ba,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_source\split-0\seed-1\config-098d36ba\job_config.yaml
atlas_het__node_classification__graphatlas_q_shuffle_source__split0__seed2__256c17b4543e,256c17b4543e,0e672c999c335af7,atlas_het,node_classification,graphatlas_q_shuffle_source,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_source\split-0\seed-2\config-256c17b4,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_source\split-0\seed-2\config-256c17b4\job_config.yaml
atlas_het__node_classification__graphatlas_q_shuffle_source__split0__seed3__dfec45a70008,dfec45a70008,0e672c999c335af7,atlas_het,node_classification,graphatlas_q_shuffle_source,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_source\split-0\seed-3\config-dfec45a7,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_source\split-0\seed-3\config-dfec45a7\job_config.yaml
atlas_het__node_classification__graphatlas_q_shuffle_source__split0__seed4__b26d33f7594f,b26d33f7594f,0e672c999c335af7,atlas_het,node_classification,graphatlas_q_shuffle_source,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_source\split-0\seed-4\config-b26d33f7,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_source\split-0\seed-4\config-b26d33f7\job_config.yaml
atlas_het__node_classification__graphatlas_q_shuffle_edge__split0__seed0__a846fa3e747a,a846fa3e747a,0e672c999c335af7,atlas_het,node_classification,graphatlas_q_shuffle_edge,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_edge\split-0\seed-0\config-a846fa3e,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_edge\split-0\seed-0\config-a846fa3e\job_config.yaml
atlas_het__node_classification__graphatlas_q_shuffle_edge__split0__seed1__4ef2fd136106,4ef2fd136106,0e672c999c335af7,atlas_het,node_classification,graphatlas_q_shuffle_edge,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_edge\split-0\seed-1\config-4ef2fd13,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_edge\split-0\seed-1\config-4ef2fd13\job_config.yaml
atlas_het__node_classification__graphatlas_q_shuffle_edge__split0__seed2__99b765aa3bd3,99b765aa3bd3,0e672c999c335af7,atlas_het,node_classification,graphatlas_q_shuffle_edge,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_edge\split-0\seed-2\config-99b765aa,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_edge\split-0\seed-2\config-99b765aa\job_config.yaml
atlas_het__node_classification__graphatlas_q_shuffle_edge__split0__seed3__b6a3e019c92b,b6a3e019c92b,0e672c999c335af7,atlas_het,node_classification,graphatlas_q_shuffle_edge,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_edge\split-0\seed-3\config-b6a3e019,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_edge\split-0\seed-3\config-b6a3e019\job_config.yaml
atlas_het__node_classification__graphatlas_q_shuffle_edge__split0__seed4__9e827ffb8bfc,9e827ffb8bfc,0e672c999c335af7,atlas_het,node_classification,graphatlas_q_shuffle_edge,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_edge\split-0\seed-4\config-9e827ffb,outputs\.work\runs\atlas_het\graphatlas_q_shuffle_edge\split-0\seed-4\config-9e827ffb\job_config.yaml
atlas_het__node_classification__graphatlas_random_routing__split0__seed0__807ce36a5f27,807ce36a5f27,0e672c999c335af7,atlas_het,node_classification,graphatlas_random_routing,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_random_routing\split-0\seed-0\config-807ce36a,outputs\.work\runs\atlas_het\graphatlas_random_routing\split-0\seed-0\config-807ce36a\job_config.yaml
atlas_het__node_classification__graphatlas_random_routing__split0__seed1__2df260115a0a,2df260115a0a,0e672c999c335af7,atlas_het,node_classification,graphatlas_random_routing,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_random_routing\split-0\seed-1\config-2df26011,outputs\.work\runs\atlas_het\graphatlas_random_routing\split-0\seed-1\config-2df26011\job_config.yaml
atlas_het__node_classification__graphatlas_random_routing__split0__seed2__e02804399579,e02804399579,0e672c999c335af7,atlas_het,node_classification,graphatlas_random_routing,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_random_routing\split-0\seed-2\config-e0280439,outputs\.work\runs\atlas_het\graphatlas_random_routing\split-0\seed-2\config-e0280439\job_config.yaml
atlas_het__node_classification__graphatlas_random_routing__split0__seed3__f9df1940f953,f9df1940f953,0e672c999c335af7,atlas_het,node_classification,graphatlas_random_routing,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_random_routing\split-0\seed-3\config-f9df1940,outputs\.work\runs\atlas_het\graphatlas_random_routing\split-0\seed-3\config-f9df1940\job_config.yaml
atlas_het__node_classification__graphatlas_random_routing__split0__seed4__9db0fb29b7d3,9db0fb29b7d3,0e672c999c335af7,atlas_het,node_classification,graphatlas_random_routing,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_random_routing\split-0\seed-4\config-9db0fb29,outputs\.work\runs\atlas_het\graphatlas_random_routing\split-0\seed-4\config-9db0fb29\job_config.yaml
atlas_het__node_classification__graphatlas_beta_zero__split0__seed0__003b7655836e,003b7655836e,0e672c999c335af7,atlas_het,node_classification,graphatlas_beta_zero,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_beta_zero\split-0\seed-0\config-003b7655,outputs\.work\runs\atlas_het\graphatlas_beta_zero\split-0\seed-0\config-003b7655\job_config.yaml
atlas_het__node_classification__graphatlas_beta_zero__split0__seed1__f67090807b5a,f67090807b5a,0e672c999c335af7,atlas_het,node_classification,graphatlas_beta_zero,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_beta_zero\split-0\seed-1\config-f6709080,outputs\.work\runs\atlas_het\graphatlas_beta_zero\split-0\seed-1\config-f6709080\job_config.yaml
atlas_het__node_classification__graphatlas_beta_zero__split0__seed2__2a6fc1bb0089,2a6fc1bb0089,0e672c999c335af7,atlas_het,node_classification,graphatlas_beta_zero,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_beta_zero\split-0\seed-2\config-2a6fc1bb,outputs\.work\runs\atlas_het\graphatlas_beta_zero\split-0\seed-2\config-2a6fc1bb\job_config.yaml
atlas_het__node_classification__graphatlas_beta_zero__split0__seed3__37f454f9850f,37f454f9850f,0e672c999c335af7,atlas_het,node_classification,graphatlas_beta_zero,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_beta_zero\split-0\seed-3\config-37f454f9,outputs\.work\runs\atlas_het\graphatlas_beta_zero\split-0\seed-3\config-37f454f9\job_config.yaml
atlas_het__node_classification__graphatlas_beta_zero__split0__seed4__4ff67631a7a7,4ff67631a7a7,0e672c999c335af7,atlas_het,node_classification,graphatlas_beta_zero,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_beta_zero\split-0\seed-4\config-4ff67631,outputs\.work\runs\atlas_het\graphatlas_beta_zero\split-0\seed-4\config-4ff67631\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed0__fc484be49f0a,fc484be49f0a,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-fc484be4,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-fc484be4\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed1__506ae5834210,506ae5834210,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-506ae583,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-506ae583\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed2__90a0f7cbf1e7,90a0f7cbf1e7,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-90a0f7cb,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-90a0f7cb\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed3__c150b0c7aa52,c150b0c7aa52,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-3\config-c150b0c7,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-3\config-c150b0c7\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed4__9df22c854513,9df22c854513,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-4\config-9df22c85,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-4\config-9df22c85\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed0__45e3d9c7ca33,45e3d9c7ca33,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-0\config-45e3d9c7,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-0\config-45e3d9c7\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed1__09a7628ad4dd,09a7628ad4dd,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-1\config-09a7628a,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-1\config-09a7628a\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed2__1b17270ac7f9,1b17270ac7f9,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-2\config-1b17270a,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-2\config-1b17270a\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed3__4940b4f46806,4940b4f46806,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-3\config-4940b4f4,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-3\config-4940b4f4\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed4__383b8e4233b8,383b8e4233b8,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-4\config-383b8e42,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-4\config-383b8e42\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed0__95212aaa1c27,95212aaa1c27,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,0,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-0\config-95212aaa,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-0\config-95212aaa\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed1__f750b368c039,f750b368c039,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,1,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-1\config-f750b368,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-1\config-f750b368\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed2__e748fcca05a3,e748fcca05a3,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,2,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-2\config-e748fcca,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-2\config-e748fcca\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed3__2db2ef0abf3e,2db2ef0abf3e,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,3,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-3\config-2db2ef0a,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-3\config-2db2ef0a\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed4__1f2b2b0c9068,1f2b2b0c9068,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,4,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-4\config-1f2b2b0c,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-4\config-1f2b2b0c\job_config.yaml
atlas_het__node_classification__graphatlas_min_distortion__split0__seed0__6bba641109f1,6bba641109f1,0e672c999c335af7,atlas_het,node_classification,graphatlas_min_distortion,graphatlas_min_distortion,0,0,1,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-0\config-6bba6411,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-0\config-6bba6411\job_config.yaml
atlas_het__node_classification__graphatlas_min_distortion__split0__seed1__a7e1a62d4caa,a7e1a62d4caa,0e672c999c335af7,atlas_het,node_classification,graphatlas_min_distortion,graphatlas_min_distortion,1,0,1,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-1\config-a7e1a62d,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-1\config-a7e1a62d\job_config.yaml
